-21.49901,10.96258,-18.73226
-21.50669,10.97259,-18.74444
-21.38624,11.12397,-19.23355
-21.40989,11.10787,-19.34363
-21.42032,10.98471,-19.35119
-21.42582,11.02489,-19.35569
-21.43528,10.99975,-19.35336
-21.43984,10.99668,-19.35005
-21.49242,11.04104,-19.36802
-21.51327,11.053,-19.43761
-21.43892,11.0342,-19.4206
-21.42038,11.03516,-19.36171
-21.42455,11.03364,-19.35307
-21.4236,11.03315,-19.3478
-21.42366,11.03389,-19.34315
-21.41615,11.03455,-19.32999
-21.41285,11.0271,-19.32268
-21.42664,11.02845,-19.32538
-21.43755,11.03591,-19.3285
-21.43075,11.03138,-19.32707
-21.43209,11.03172,-19.32913
-21.43439,11.03246,-19.32947
-21.43645,11.03386,-19.32913
-21.43675,11.03414,-19.32921
-21.43978,11.03188,-19.32101
-21.43973,11.02864,-19.3175
-21.44077,11.02965,-19.32005
-21.4408,11.03258,-19.32502
