-21.44392,10.99868,-19.42441
-21.45889,10.99848,-19.41368
-21.45843,10.99921,-19.41473
-21.45851,10.99893,-19.41516
-21.45876,10.99917,-19.41531
-21.45846,10.9992,-19.41591
-21.45869,10.99898,-19.41606
-21.45805,10.99906,-19.4177
-21.4575,10.99927,-19.41804
-21.46027,11.00064,-19.41769
-21.46025,11.00038,-19.41726
-21.46066,11.0002,-19.41684
-21.4605,11.00016,-19.41675
-21.46008,10.99964,-19.41705
-21.45993,10.99949,-19.417
-21.46078,10.99957,-19.41582
-21.46144,11.00008,-19.41604
-21.46161,10.99988,-19.41558
-21.46036,10.99992,-19.41568
-21.45956,10.99995,-19.41664
-21.45399,11.00128,-19.4232
-21.45544,11.00188,-19.42278
-21.45544,11.00173,-19.42253
-21.45265,11.00075,-19.42244
-21.45133,11.00136,-19.41257
-21.44603,11.02354,-19.40294
-21.44461,11.02242,-19.40759
-21.44802,11.02441,-19.41168
-21.44901,11.02357,-19.41152
-21.44932,11.02338,-19.41313
